title,description,source,published_at,keywords,crisis_category,sentiment_score,sentiment,crisis_severity_score
wall street has ai psychosis,a “thought experiment” about the impacts of ai sent stocks tumbling earlier this week. it’s probably going to keep happening.,Wired,2026-02-27T16:00:00Z,"['thought', 'experiment', 'impacts', 'ai', 'sent', 'stocks', 'tumbling', 'earlier', 'week', 'probably', 'going', 'keep', 'happening']",economy,0.0,neutral,30.0
cuba readies for first russian oil shipment of the year as energy crisis deepens,"cuba is preparing to receive its first shipment of russian oil this year, just days after the government announced it was operating on natural gas, solar power and thermoelectric plants as severe power outages continue to hit it.",NPR,2026-03-20T05:59:55Z,"['cuba', 'preparing', 'receive', 'first', 'shipment', 'russian', 'oil', 'year', 'days', 'government', 'announced', 'operating', 'natural', 'gas', 'solar', 'power', 'thermoelectric', 'plants', 'severe', 'power', 'outages', 'continue', 'hit']",economy,0.11666666666666665,positive,35.83
what ai models for war actually look like,"while companies like anthropic debate limits on military uses of ai, smack technologies is training models to plan battlefield operations.",Wired,2026-03-04T22:00:03Z,"['companies', 'like', 'anthropic', 'debate', 'limits', 'military', 'uses', 'ai', 'smack', 'technologies', 'training', 'models', 'plan', 'battlefield', 'operations']",war,-0.1,negative,55.0
here’s every country directly impacted by the war on iran,"as the conflict in the middle east continues to escalate, more than a dozen countries in the region have reportedly been affected by strikes.",Wired,2026-03-05T22:28:33Z,"['conflict', 'middle', 'east', 'continues', 'escalate', 'dozen', 'countries', 'region', 'reportedly', 'affected', 'strikes']",war,0.25,positive,62.5
jobs report expected to show hiring slowdown,the fresh data is set to arrive as the iran war roils markets.,Abcnews.com,2026-03-06T10:09:02Z,"['fresh', 'data', 'set', 'arrive', 'iran', 'war', 'roils', 'markets']",war,0.3,positive,65.0
the war on poaching has gone full tech dystopia—and it may not be working,"surveillance technology intended to protect endangered species is weaponized against locals, with repercussions that range from harassment to physical violence.",Gizmodo.com,2026-02-28T11:00:01Z,"['surveillance', 'technology', 'intended', 'protect', 'endangered', 'species', 'weaponized', 'locals', 'repercussions', 'range', 'harassment', 'physical', 'violence']",other,0.0,neutral,10.0
inflation report to be released as iran war sends gas prices surging,overall prices cooled in recent months but remain above the fed's target.,Abcnews.com,2026-03-11T09:06:33Z,"['overall', 'prices', 'cooled', 'recent', 'months', 'remain', 'fed', 'target']",economy,0.0,neutral,30.0
plan to scrap most short jail terms comes into effect,the government hopes it will ease the population crisis in prisons.,BBC News,2026-03-23T00:05:03Z,"['government', 'hopes', 'ease', 'population', 'crisis', 'prisons']",other,0.0,neutral,10.0
world shares tumble as iran war pushes crude prices over $110 a barrel,"world shares tumbled on monday, with japan's benchmark nikkei 225 index plunging more than 5%, after oil prices spiked at nearly $120 a barrel.",NPR,2026-03-09T09:44:22Z,"['world', 'shares', 'tumbled', 'monday', 'japan', 'benchmark', 'nikkei', '225', 'index', 'plunging', '5', 'oil', 'prices', 'spiked', 'nearly', '120', 'barrel']",economy,0.3,positive,45.0
trump's war with iran is angering some swing voters who want money spent at home,swing voters who helped reelect president trump in 2024 don't support his decision to go to war in iran and instead want to see u.s. tax dollars spent tackling economic pressures facing americans.,NPR,2026-03-12T09:00:00Z,"['swing', 'voters', 'helped', 'reelect', 'president', 'trump', '2024', 'support', 'decision', 'go', 'war', 'iran', 'instead', 'want', 'see', 'tax', 'dollars', 'spent', 'tackling', 'economic', 'pressures', 'facing', 'americans']",war,0.05,positive,52.5
u.s. investigates strike on iranian school as the war sparks a global oil crisis,"trump, who promised to lower gas prices, is tapping the strategic petroleum reserve as war drives prices up. and, the u.s. investigates the strike on an iranian school that killed at least 165 people.",NPR,2026-03-12T11:04:31Z,"['trump', 'promised', 'lower', 'gas', 'prices', 'tapping', 'strategic', 'petroleum', 'reserve', 'war', 'drives', 'prices', 'investigates', 'strike', 'iranian', 'school', 'killed', 'least', '165', 'people']",war,-0.25,negative,62.5
wall street is already betting on prediction markets,"as the legal war over how to regulate prediction markets rages on, financial institutions are embracing the industry anyway.",Wired,2026-03-16T09:30:00Z,"['legal', 'war', 'regulate', 'prediction', 'markets', 'rages', 'financial', 'institutions', 'embracing', 'industry', 'anyway']",war,0.1,positive,55.0
"iran war enters its fourth week, with no clear end in sight","as the war in the middle east enters its fourth week, president trump says the u.s. is considering ""winding down"" military efforts, as it also seeks to ease the energy crisis by lifting sanctions on iranian oil stranded at sea.",NPR,2026-03-21T09:43:23Z,"['war', 'middle', 'east', 'enters', 'fourth', 'week', 'president', 'trump', 'says', 'considering', 'winding', 'military', 'efforts', 'also', 'seeks', 'ease', 'energy', 'crisis', 'lifting', 'sanctions', 'iranian', 'oil', 'stranded', 'sea']",war,-0.0638888888888889,negative,53.19
trump started a war with no clear end in sight. they rarely end well for presidents,"president trump started a war with no clear end in sight. if his predecessors' experiences are an indication, conflicts don't bode well for presidential approval ratings.",NPR,2026-03-19T09:00:00Z,"['president', 'trump', 'started', 'war', 'clear', 'end', 'sight', 'predecessors', 'experiences', 'indication', 'conflicts', 'bode', 'well', 'presidential', 'approval', 'ratings']",war,-0.05000000000000001,negative,52.5
here’s how journalists spot deepfakes,"in the days that followed the us and israel's joint military strike on iran on saturday, floods of images and videos that supposedly document the war have appeared online. some are old or depict unrelated conflicts, are made or manipulated with ai, and in som…",The Verge,2026-03-03T18:22:12Z,"['days', 'followed', 'us', 'israel', 'joint', 'military', 'strike', 'iran', 'saturday', 'floods', 'images', 'videos', 'supposedly', 'document', 'war', 'appeared', 'online', 'old', 'depict', 'unrelated', 'conflicts', 'made', 'manipulated', 'ai']",war,0.0,neutral,50.0
"bowen: a dangerous moment, but us and israel see opportunity not to be missed","israel and the us believe iran's regime is vulnerable, dealing with an economic crisis and the aftermath of protests.",BBC News,2026-02-28T12:17:17Z,"['israel', 'us', 'believe', 'iran', 'regime', 'vulnerable', 'dealing', 'economic', 'crisis', 'aftermath', 'protests']",other,-0.15,negative,17.5
blackouts and emergency aid: why the cuban revolution faces its biggest threat yet,will a worsening internal crisis create the conditions for the cuban revolution to unravel from within?,BBC News,2026-02-27T06:00:38Z,"['worsening', 'internal', 'crisis', 'create', 'conditions', 'cuban', 'revolution', 'unravel', 'within']",other,0.0,neutral,10.0
"mortgage and refinance interest rates today, march 7, 2026: rates rise as bond yields surge.",these are today's mortgage and refinance rates. mortgage rates have risen as the middle east war caused bond market yields to surge. fears of inflation were ...,Yahoo Entertainment,2026-03-07T11:00:08Z,"['today', 'mortgage', 'refinance', 'rates', 'mortgage', 'rates', 'risen', 'middle', 'east', 'war', 'caused', 'bond', 'market', 'yields', 'surge', 'fears', 'inflation']",war,0.0,neutral,50.0
federal ev surcharge idea not dead yet and now includes hybrids,republicans have removed the carrot for ev consumers by gutting ev tax incentives. they're also contemplating whacking them—along with hybrid drivers—with a stick.,Gizmodo.com,2026-03-19T09:00:12Z,"['republicans', 'removed', 'carrot', 'ev', 'consumers', 'gutting', 'ev', 'tax', 'incentives', 'also', 'contemplating', 'whacking', 'along', 'hybrid', 'drivers', 'stick']",other,0.0,neutral,10.0
how is kalshi not gambling?,"kalshi lets you place bets on everything from football games to foreign invasions. the prediction market’s ceo, tarek mansour, says this doesn’t count as gambling—and is actually good for society.",Wired,2026-03-04T11:00:00Z,"['kalshi', 'lets', 'place', 'bets', 'everything', 'football', 'games', 'foreign', 'invasions', 'prediction', 'market', 'ceo', 'tarek', 'mansour', 'says', 'count', 'gambling', 'actually', 'good', 'society']",economy,0.2875,positive,44.38
iran war q&a,we answer your questions about the us-israel war with iran.,BBC News,2026-03-06T10:12:00Z,"['answer', 'questions', 'war', 'iran']",war,0.0,neutral,50.0
block's layoffs illustrate the market conundrum at the heart of the viral citrini report,"investors cheered block's big layoffs, but the move also flicks at the tension between markets and the economy citrini highligthed in its viral ai note.",Business Insider,2026-02-27T15:25:07Z,"['investors', 'cheered', 'block', 'big', 'layoffs', 'move', 'also', 'flicks', 'tension', 'markets', 'economy', 'citrini', 'highligthed', 'viral', 'ai', 'note']",economy,0.0,neutral,30.0
"here's what to know about the jones act, a century-old shipping law trump is waiving to shield americans from surging oil prices",the trump administration's move to waive the jones act for 60 days is meant to dull the impact of iran-war disruptions. here's how that works.,Business Insider,2026-03-18T20:20:03Z,"['trump', 'administration', 'move', 'waive', 'jones', 'act', '60', 'days', 'meant', 'dull', 'impact', 'disruptions', 'works']",other,-0.2916666666666667,negative,24.58
iran war energy crisis is a renewable energy wake-up call,"the iran war is exposing how much the global economy still depends on fragile fossil fuel supplies. the conflict has virtually choked off the strait of hormuz, a vital shipping lane for a fifth of the world’s oil and liquefied natural gas. that's shaking up m…",Associated Press,2026-03-22T22:01:03Z,"['iran', 'war', 'exposing', 'much', 'global', 'economy', 'still', 'depends', 'fragile', 'fossil', 'fuel', 'supplies', 'conflict', 'virtually', 'choked', 'strait', 'hormuz', 'vital', 'shipping', 'lane', 'fifth', 'world', 'oil', 'liquefied', 'natural', 'gas', 'shaking']",war,0.08,positive,54.0
fake ai content about the iran war is all over x,"x's grok is failing to accurately verify video footage from the iran conflict, and is sharing its own ai-generated images about the war.",Wired,2026-03-10T16:45:47Z,"['x', 'grok', 'failing', 'accurately', 'verify', 'video', 'footage', 'iran', 'conflict', 'sharing', 'images', 'war']",war,0.5,positive,75.0
gas prices are so high that doordash is providing ‘emergency relief’,the platform will give cash back on gas for its drivers.,Gizmodo.com,2026-03-23T22:52:48Z,"['platform', 'give', 'cash', 'back', 'gas', 'drivers']",other,0.0,neutral,10.0
this columnist predicted in 2006 that the iran war would end by 2026 (seriously),she also predicted dick cheney would become president and most drugs would be legal in 2026.,Gizmodo.com,2026-03-21T13:13:39Z,"['also', 'predicted', 'dick', 'cheney', 'would', 'become', 'president', 'drugs', 'would', 'legal', '2026']",other,0.35,positive,27.5
oil price tops $100 a barrel as iran war rattles commodity markets,the price of oil hit its highest level since the outbreak of the war in ukraine,Yahoo Entertainment,2026-03-09T09:32:25Z,"['price', 'oil', 'hit', 'highest', 'level', 'since', 'outbreak', 'war', 'ukraine']",war,0.0,neutral,50.0
kalshi cofounders' favorite users include 'this guy who lives in kansas' who is their best inflation forecaster,"kalshi ceo tarek mansour said one of his favorite users is ""this guy who lives in kansas"" who nails inflation forecasts.",Business Insider,2026-03-21T09:44:01Z,"['kalshi', 'ceo', 'tarek', 'mansour', 'said', 'one', 'favorite', 'users', 'guy', 'lives', 'kansas', 'nails', 'inflation', 'forecasts']",economy,0.5,positive,55.0
"analysis: trump devotes much of speech to immigration and economy, seeing them as vote-winners",the bbc's daniel bush takes a closer at the two key themes of trump's state of the union address on tuesday evening.,BBC News,2026-02-25T08:08:52Z,"['bbc', 'daniel', 'bush', 'takes', 'closer', 'two', 'key', 'themes', 'trump', 'state', 'union', 'address', 'tuesday', 'evening']",other,0.0,neutral,10.0
the future of iran’s internet is more uncertain than ever,"iran’s internet shutdown has reduced connectivity by 99 percent, with air strikes likely causing additional outages, and few workarounds remaining.",Wired,2026-03-06T20:06:06Z,"['iran', 'internet', 'shutdown', 'reduced', 'connectivity', '99', 'percent', 'air', 'strikes', 'likely', 'causing', 'additional', 'outages', 'workarounds', 'remaining']",other,-0.1,negative,15.0
will putin benefit from the iran war?,"after two weeks of war in iran, will russia gain from looser sanctions and expensive oil?",BBC News,2026-03-14T18:45:00Z,"['two', 'weeks', 'war', 'iran', 'russia', 'gain', 'looser', 'sanctions', 'expensive', 'oil']",war,-0.5,negative,75.0
iran warns us tech firms could become targets as war expands,"companies including google, microsoft, and palantir were listed as targets by iranian media as the conflict with israel and the us spills into digital infrastructure.",Wired,2026-03-11T18:38:21Z,"['companies', 'including', 'google', 'microsoft', 'palantir', 'listed', 'targets', 'iranian', 'media', 'conflict', 'israel', 'us', 'spills', 'digital', 'infrastructure']",war,0.0,neutral,50.0
palantir demos show how the military could use ai chatbots to generate war plans,software demos and pentagon records detail how chatbots like anthropic’s claude could help the pentagon analyze intelligence and suggest next steps.,Wired,2026-03-13T10:00:00Z,"['software', 'demos', 'pentagon', 'records', 'detail', 'chatbots', 'like', 'anthropic', 'claude', 'could', 'help', 'pentagon', 'analyze', 'intelligence', 'suggest', 'next', 'steps']",other,0.0,neutral,10.0
the 5 big ‘known unknowns’ of donald trump’s new war with iran,the all-out air assault on the islamic republic might be the biggest gamble of the president’s career.,Wired,2026-03-01T17:47:31Z,"['air', 'assault', 'islamic', 'republic', 'might', 'biggest', 'gamble', 'president', 'career']",other,0.0,neutral,10.0
death of ali larijani would deepen crisis at heart of iran's leadership,larijani has long been seen as one of the islamic republic's most experienced and influential policy makers.,BBC News,2026-03-17T17:25:50Z,"['larijani', 'long', 'seen', 'one', 'islamic', 'republic', 'experienced', 'influential', 'policy', 'makers']",other,0.4166666666666667,positive,30.83
how a music streaming ceo built an open-source global threat map in his spare time,"frustrated by fragmented war news, anghami’s elie habib built world monitor, a platform that fuses global data, like aircraft signals and satellite detections, to track conflicts as they unfold.",Wired,2026-03-05T10:00:00Z,"['frustrated', 'fragmented', 'war', 'news', 'anghami', 'elie', 'habib', 'built', 'world', 'monitor', 'platform', 'fuses', 'global', 'data', 'like', 'aircraft', 'signals', 'satellite', 'detections', 'track', 'conflicts', 'unfold']",war,-0.35,negative,67.5
i went to the pentagon to watch pete hegseth scold war reporters,"it is day 13 of america's surprise war with iran - by sheer coincidence, it's friday the 13th - and i am delirious. i haven't had a coffee since i woke up at 5am, because i'm not allowed to bring outside beverages into the pentagon (the security screening cut…",The Verge,2026-03-17T20:47:35Z,"['day', '13', 'america', 'surprise', 'war', 'iran', 'sheer', 'coincidence', 'friday', '13th', 'delirious', 'coffee', 'since', 'woke', '5am', 'allowed', 'bring', 'outside', 'beverages', 'pentagon', 'security', 'screening']",war,0.0,neutral,50.0
"attacks on middle east energy sites deepen threat to us economy, analysts say",tit-for-tat attacks on oil and gas sites across the middle east in recent days have pushed up oil prices.,Abcnews.com,2026-03-20T21:16:40Z,"['attacks', 'oil', 'gas', 'sites', 'across', 'middle', 'east', 'recent', 'days', 'pushed', 'oil', 'prices']",economy,0.0,neutral,30.0
sam altman is marketing openai as america’s wartime ai company whether he intends to or not,"at the outbreak of a new war, altman is closer than ever to the pentagon.",Gizmodo.com,2026-02-28T19:32:24Z,"['outbreak', 'new', 'war', 'altman', 'closer', 'ever', 'pentagon']",war,0.13636363636363635,positive,56.82
here’s your first look at kratos in amazon’s god of war show,"amazon has slowly been teasing out casting details for its live-action adaptation of god of war, and now we have our first look at the show. it's a single image but a notable one showing protagonist kratos and his son atreus. the characters are played by ryan…",The Verge,2026-02-27T15:19:14Z,"['amazon', 'slowly', 'teasing', 'casting', 'details', 'adaptation', 'god', 'war', 'first', 'look', 'show', 'single', 'image', 'notable', 'one', 'showing', 'protagonist', 'kratos', 'son', 'atreus', 'characters', 'played']",war,0.09464285714285714,positive,54.73
oil and gas prices are soaring. some countries are ready with solar panels and evs,"as an energy crisis grows, some countries are more prepared because of renewable energy and electric vehicles. pakistan reduced its reliance on imported natural gas because of the growth of solar.",NPR,2026-03-16T09:00:00Z,"['energy', 'crisis', 'grows', 'countries', 'prepared', 'renewable', 'energy', 'electric', 'vehicles', 'pakistan', 'reduced', 'reliance', 'imported', 'natural', 'gas', 'growth', 'solar']",other,0.3,positive,25.0
war in ukraine spills into hungarian election,hungary is going to the polls soon and prime minister viktor orbán has one public enemy in his sights - ukraine's president.,BBC News,2026-03-12T06:00:39Z,"['hungary', 'going', 'polls', 'soon', 'prime', 'minister', 'viktor', 'orbán', 'one', 'public', 'enemy', 'sights', 'ukraine', 'president']",other,0.0,neutral,10.0
trump's war with iran... what we still don't know,"plus, has the president persuaded americans to back his war?",BBC News,2026-03-06T16:02:00Z,"['plus', 'president', 'persuaded', 'americans', 'back', 'war']",war,0.0,neutral,50.0
splinter: trump has bet the economy on war with iran,"one day does not make a trend, but it’s clear that iran is willing to weaponize oil prices against us for now, and if we see a sustained rise in energy prices, trump may get his ultimate wish to take america back to the early 1980s, volcker shock and all.",Jezebel,2026-03-02T15:59:31Z,"['one', 'day', 'make', 'trend', 'clear', 'iran', 'willing', 'weaponize', 'oil', 'prices', 'us', 'see', 'sustained', 'rise', 'energy', 'prices', 'trump', 'may', 'get', 'ultimate', 'wish', 'take', 'america', 'back', 'early', '1980s', 'volcker', 'shock']",economy,0.09000000000000001,positive,34.5
it's officially time to worry about trump's economy,"we are now staring down the stagflationary barrel while the threat of recession rises. the jobs market is bad to mediocre, and trump and israel’s war with iran has guaranteed us more inflation thanks to the oil shock.",Jezebel,2026-03-06T15:55:05Z,"['staring', 'stagflationary', 'barrel', 'threat', 'recession', 'rises', 'jobs', 'market', 'bad', 'mediocre', 'trump', 'israel', 'war', 'iran', 'guaranteed', 'us', 'inflation', 'thanks', 'oil', 'shock']",war,-0.1311111111111111,negative,56.56
fed meeting updates: fomc set to hold rates steady as oil prices soar,"the federal reserve will likely hold interest rates steady at its march meeting, following a dismal jobs report and an energy and oil crisis in iran.",Business Insider,2026-03-18T09:54:47Z,"['federal', 'reserve', 'likely', 'hold', 'interest', 'rates', 'steady', 'march', 'meeting', 'following', 'dismal', 'jobs', 'report', 'energy', 'oil', 'crisis', 'iran']",economy,0.05555555555555555,positive,32.78
treasuries rout shows iran conflict reigniting inflation worry,inflation is re-emerging as the crucial worry in the $30 trillion treasuries market as investors see the risk of a protracted conflict in the mideast that...,Yahoo Entertainment,2026-03-02T22:42:05Z,"['inflation', 'crucial', 'worry', '30', 'trillion', 'treasuries', 'market', 'investors', 'see', 'risk', 'protracted', 'conflict', 'mideast']",war,0.0,neutral,50.0
why trump's attacks and threats to iran's kharg island are a big deal,"if the u.s. follows through on its threats to bomb the oil assets on kharg island, the war would likely escalate and oil prices would increase exponentially.",NPR,2026-03-19T09:00:00Z,"['follows', 'threats', 'bomb', 'oil', 'assets', 'kharg', 'island', 'war', 'would', 'likely', 'escalate', 'oil', 'prices', 'would', 'increase', 'exponentially']",war,0.0,neutral,50.0
could a global economy dependent on renewable energy see less war? experts explain,"a mass transition to green energy could help to quell future international conflicts that stem from the control of oil, energy and climate change experts told abc news.",Abcnews.com,2026-03-17T09:12:16Z,"['mass', 'transition', 'green', 'energy', 'could', 'help', 'quell', 'future', 'international', 'conflicts', 'stem', 'control', 'oil', 'energy', 'climate', 'change', 'experts', 'told', 'abc', 'news']",economy,-0.06666666666666667,negative,33.33
mortgage rates jump back above 6% as iran strikes stoke fresh inflation fears,"mortgage rates jumped on monday as the us-israeli strikes on iran sent oil prices surging, and treasury yields rose amid fresh concerns about inflation.",Yahoo Entertainment,2026-03-02T11:00:02Z,"['mortgage', 'rates', 'jumped', 'monday', 'strikes', 'iran', 'sent', 'oil', 'prices', 'surging', 'treasury', 'yields', 'rose', 'amid', 'fresh', 'concerns', 'inflation']",economy,0.44999999999999996,positive,52.5
"will war in iran really end ""very soon""?",president trump says iran war will be over “very soon”.,BBC News,2026-03-10T19:00:00Z,"['president', 'trump', 'says', 'iran', 'war', 'soon']",war,0.2,positive,60.0
no one is coming to save the economy,"we are living in the largest energy shock in history, and it's clear there's no plan to get us out of it.",Jezebel,2026-03-20T15:29:39Z,"['living', 'largest', 'energy', 'shock', 'history', 'clear', 'plan', 'get', 'us']",other,0.10000000000000002,positive,15.0
"americanswers… on 5 live! trump claims iran wants to ""make a deal"" to end the war",iran denies talks with the us to stop the war as ‘fake news’,BBC News,2026-03-23T21:49:00Z,"['iran', 'denies', 'talks', 'us', 'stop', 'war', 'fake', 'news']",war,-0.5,negative,75.0
ukraine remembers its dead as war enters a fifth year,events were held across ukraine to mark four years since russia launched its full-scale invasion.,BBC News,2026-02-24T18:13:58Z,"['events', 'held', 'across', 'ukraine', 'mark', 'four', 'years', 'since', 'russia', 'launched', 'invasion']",other,0.0,neutral,10.0
